Artikelname;Anbietername;Wirkstoffe;ATC-C. (ADV);ATC 4 Steller;Stoffklasse;;;;;;
SOMATULINE ;Ipsen Pharma;Lanreotid acetat (1:x);H01CB03;H01C;HYPOTHALAMUSHORMONE;;;;;;
XERMELO ;Ipsen Pharma;Telotristat etiprat;A16AX;A16A;ANDERE MITTEL FÜR DAS ALIMENTÄRE SYSTEM UND DEN STOFFWECHSEL;;;;;;
ZAREDROP ;Italfarmaco;Venlafaxin hydrochlorid;N06AX16;N06A;ANTIDEPRESSIVA;;;;;;
RUPAFIN ;J. Uriach;Rupatadin fumarat;R06AX28;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
CONCERTA ;Janssen Cilag;Methylphenidat hydrochlorid;N06BA04;N06B;PSYCHOSTIMULANZIEN, MITTEL ZUR BEHANDLUNG DER ADHS UND NOOTROPIKA;;;;;;
DACOGEN ;Janssen Cilag;Decitabin;L01BC08;L01B;ANTIMETABOLITEN;;;;;;
DARZALEX ;Janssen Cilag;Daratumumab;L01XC24;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
DIPIDOLOR ;Janssen Cilag;Piritramid;N02AC03;N02A;OPIOIDE;;;;;;
DUROGESIC ;Janssen Cilag;Fentanyl;N02AB03;N02A;OPIOIDE;;;;;;
EDURANT ;Janssen Cilag;Rilpivirin hydrochlorid;J05AG05;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
ERYPO ;Janssen Cilag;Epoetin alfa;B03XA01;B03X;ANDERE ANTIANÄMIKA;;;;;;
FENTANYL ;Janssen Cilag;Fentanyl dihydrogencitrat;N01AH01;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
GYNO ;Janssen Cilag;Econazol nitrat;G01AF05;G01A;ANTIINFEKTIVA UND ANTISEPTIKA, EXKL. KOMBINATIONEN MIT CORTICOSTEROIDEN;;;;;;
HALDOL ;Janssen Cilag;Haloperidol;N05AD01;N05A;ANTIPSYCHOTIKA;;;;;;
HYPNOMIDATE ;Janssen Cilag;Etomidat;N01AX07;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
IMBRUVICA ;Janssen Cilag;Ibrutinib;L01XE27;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
IMODIUM ;Janssen Cilag;Loperamid hydrochlorid;A07DA03;A07D;MOTILITÄTSHEMMER;;;;;;
INTELENCE ;Janssen Cilag;Etravirin;J05AG04;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
INVEGA ;Janssen Cilag;Paliperidon;N05AX13;N05A;ANTIPSYCHOTIKA;;;;;;
JURNISTA ;Janssen Cilag;Hydromorphon hydrochlorid;N02AA03;N02A;OPIOIDE;;;;;;
LEUSTATIN ;Janssen Cilag;Cladribin;L01BB04;L01B;ANTIMETABOLITEN;;;;;;
OLYSIO ;Janssen Cilag;Simeprevir natrium;J05AE14;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
PREZISTA ;Janssen Cilag;Darunavir-Ethanol (1:1);J05AE10;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
RAPIFEN ;Janssen Cilag;Alfentanil hydrochlorid;N01AH02;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
REMINYL ;Janssen Cilag;Galantamin hydrobromid;N06DA04;N06D;ANTIDEMENTIVA;;;;;;
REOPRO ;Janssen Cilag;Abciximab;B01AC13;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
RISPERDAL ;Janssen Cilag;Risperidon;N05AX08;N05A;ANTIPSYCHOTIKA;;;;;;
SEMPERA ;Janssen Cilag;Itraconazol;J02AC02;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
SIROS ;Janssen Cilag;Itraconazol;J02AC02;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
SIRTURO ;Janssen Cilag;Bedaquilin fumarat;J04AK05;J04A;MITTEL ZUR BEHANDLUNG DER TUBERKULOSE;;;;;;
STELARA ;Janssen Cilag;Ustekinumab;L04AC05;L04A;IMMUNSUPPRESSIVA;;;;;;
SUFENTA ;Janssen Cilag;Sufentanil citrat;N01AH03;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
SYLVANT ;Janssen Cilag;Siltuximab;L04AC11;L04A;IMMUNSUPPRESSIVA;;;;;;
TOPAMAX ;Janssen Cilag;Topiramat;N03AX11;N03A;ANTIEPILEPTIKA;;;;;;
TOPIRAMAT ;Janssen Cilag;Topiramat;N03AX11;N03A;ANTIEPILEPTIKA;;;;;;
TREMFYA ;Janssen Cilag;Guselkumab;L04AC;L04A;IMMUNSUPPRESSIVA;;;;;;
TREVICTA ;Janssen Cilag;Paliperidon palmitat;N05AX13;N05A;ANTIPSYCHOTIKA;;;;;;
VELCADE ;Janssen Cilag;Bortezomib mannitol;L01XX32;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
VERMOX ;Janssen Cilag;Mebendazol;P02CA01;P02C;NEMATODENMITTEL;;;;;;
XEPLION ;Janssen Cilag;Paliperidon palmitat;N05AX13;N05A;ANTIPSYCHOTIKA;;;;;;
ZYTIGA ;Janssen Cilag;Abirateron acetat;L02BX03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
ERWINASE ;Jazz;Asparaginase (Erwinia chrysanthemi);L01XX02;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
ADVANTAN ;Jenapharm;Methylprednisolon aceponat;D07AC14;D07A;CORTICOSTEROIDE, REIN;;;;;;
AMIADA ;Jenapharm;Terbinafin hydrochlorid;D01BA02;D01B;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
ANDROCUR ;Jenapharm;Cyproteron acetat;G03HA01;G03H;ANTIANDROGENE;;;;;;
CHLORMADINON ;Jenapharm;Chlormadinon acetat;G03DB06;G03D;GESTAGENE;;;;;;
DOTAGRAF ;Jenapharm;Gadotersäure meglumin;V08CA02;V08C;KONTRASTMITTEL FÜR DIE MAGNETRESONANZTOMOGRAPHIE;;;;;;
ESTRADIOL ;Jenapharm;Estradiol valerat;G03CA03;G03C;ESTROGENE;;;;;;
ESTRIOL ;Jenapharm;Estriol;G03CA04;G03C;ESTROGENE;;;;;;
JAYDESS ;Jenapharm;Levonorgestrel;G02BA03;G02B;KONTRAZEPTIVA ZUR LOKALEN ANWENDUNG;;;;;;
KYLEENA ;Jenapharm;Levonorgestrel;G02BA03;G02B;KONTRAZEPTIVA ZUR LOKALEN ANWENDUNG;;;;;;
LEVITRA ;Jenapharm;Vardenafil hydrochlorid-3-Wasser;G04BE09;G04B;UROLOGIKA;;;;;;
MAGNOGRAF ;Jenapharm;Gadopentetsäure dimeglumin;V08CA01;V08C;KONTRASTMITTEL FÜR DIE MAGNETRESONANZTOMOGRAPHIE;;;;;;
MIRENA ;Jenapharm;Levonorgestrel;G02BA03;G02B;KONTRAZEPTIVA ZUR LOKALEN ANWENDUNG;;;;;;
NALADOR ;Jenapharm;Sulproston;G02AD05;G02A;WEHEN FÖRDERNDE MITTEL;;;;;;
NEBIDO ;Jenapharm;Testosteron undecanoat;G03BA03;G03B;ANDROGENE;;;;;;
NERISONA ;Jenapharm;Diflucortolon 21-valerat;D07AC06;D07A;CORTICOSTEROIDE, REIN;;;;;;
NORISTERAT ;Jenapharm;Norethisteron enantat;G03AC01;G03A;HORMONELLE KONTRAZEPTIVA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
NOVA ;Jenapharm;Kupferdraht mit Silberkern;D09AA15;D09A;MEDIZINISCHE VERBÄNDE;;;;;;
PROGYNOVA ;Jenapharm;Estradiol valerat;G03CA03;G03C;ESTROGENE;;;;;;
SKINOREN ;Jenapharm;Azelainsäure;D10AX03;D10A;AKNEMITTEL ZUR TOPISCHEN ANWENDUNG;;;;;;
TESTOSTERON ;Jenapharm;Testosteron enantat;G03BA03;G03B;ANDROGENE;;;;;;
TESTOVIRON ;Jenapharm;Testosteron enantat;G03BA03;G03B;ANDROGENE;;;;;;
ULTRAGRAF ;Jenapharm;Iopromid;V08AB05;V08A;RÖNTGENKONTRASTMITTEL, IOD-HALTIG;;;;;;
VISANNE ;Jenapharm;Dienogest;G03DB08;G03D;GESTAGENE;;;;;;
XAPRO ;Jenapharm;Estriol;G03CD01;G03C;ESTROGENE;;;;;;
EVICEL ;John.&J.Biosur.;Thrombin (human);B02BC51;B02B;VITAMIN K UND ANDERE HÄMOSTATIKA;;;;;;
ALENDRO ;Juta Ph.Q Pharm;Alendronsäure natrium-3-Wasser;M05BA04;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
AMLODIPIN ;Juta Ph.Q Pharm;Amlodipin mesilat-1-Wasser;C08CA01;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
ANASTROZOL ;Juta Ph.Q Pharm;Anastrozol;L02BG03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
AZA ;Juta Ph.Q Pharm;Azathioprin;L04AX01;L04A;IMMUNSUPPRESSIVA;;;;;;
BICA ;Juta Ph.Q Pharm;Bicalutamid;L02BB03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
CANDESARTANCILEXETIL ;Juta Ph.Q Pharm;Candesartan cilexetil;C09CA06;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
CARVE ;Juta Ph.Q Pharm;Carvedilol;C07AG02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
CITALOPRAM ;Juta Ph.Q Pharm;Citalopram hydrobromid;N06AB04;N06A;ANTIDEPRESSIVA;;;;;;
CLOPIDOGREL ;Juta Ph.Q Pharm;Clopidogrel besilat;B01AC04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
ENTACAPON ;Juta Ph.Q Pharm;Entacapon;N04BX02;N04B;DOPAMINERGE MITTEL;;;;;;
EREQ ;Juta Ph.Q Pharm;Sildenafil citrat;G04BE03;G04B;UROLOGIKA;;;;;;
FENTANYL ;Juta Ph.Q Pharm;Fentanyl;N02AB03;N02A;OPIOIDE;;;;;;
JUFORMIN ;Juta Ph.Q Pharm;Metformin hydrochlorid;A10BA02;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
JUFURIX ;Juta Ph.Q Pharm;Furosemid;C03CA01;C03C;HIGH-CEILING-DIURETIKA;;;;;;
JUTABIS ;Juta Ph.Q Pharm;Bisoprolol hemifumarat;C07AB07;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
JUTABLOC ;Juta Ph.Q Pharm;Metoprolol tartrat;C07AB02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
JUTALAR ;Juta Ph.Q Pharm;Doxazosin mesilat;C02CA04;C02C;ANTIADRENERGE MITTEL, PERIPHER WIRKEND;;;;;;
JUTAPRESS ;Juta Ph.Q Pharm;Nitrendipin;C08CA08;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
JUTAXAN ;Juta Ph.Q Pharm;Enalapril maleat;C09AA02;C09A;ACE-HEMMER, REIN;;;;;;
LATANO ;Juta Ph.Q Pharm;Latanoprost;S01EE01;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
LISINOPRIL ;Juta Ph.Q Pharm;Lisinopril-2-Wasser;C09AA03;C09A;ACE-HEMMER, REIN;;;;;;
LOSAR ;Juta Ph.Q Pharm;Losartan kalium;C09CA01;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
MORPHANTON ;Juta Ph.Q Pharm;Morphin sulfat;N02AA01;N02A;OPIOIDE;;;;;;
OME ;Juta Ph.Q Pharm;Omeprazol;A02BC01;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
RAMIPRIL ;Juta Ph.Q Pharm;Ramipril;C09AA05;C09A;ACE-HEMMER, REIN;;;;;;
SIMVASTATIN ;Juta Ph.Q Pharm;Simvastatin;C10AA01;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
TAMSU ;Juta Ph.Q Pharm;Tamsulosin hydrochlorid;G04CA02;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
TERBINAFIN ;Juta Ph.Q Pharm;Terbinafin hydrochlorid;D01BA02;D01B;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
TRAMADOL ;Juta Ph.Q Pharm;Tramadol hydrochlorid;N02AX02;N02A;OPIOIDE;;;;;;
VENLA ;Juta Ph.Q Pharm;Venlafaxin hydrochlorid;N06AX16;N06A;ANTIDEPRESSIVA;;;;;;
ZOLPI ;Juta Ph.Q Pharm;Zolpidem hemitartrat;N05CF02;N05C;HYPNOTIKA UND SEDATIVA;;;;;;
DICLO ;Kade;Diclofenac natrium;M01AB05;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
DOLO ;Kade;Cinchocain hydrochlorid;C05AD04;C05A;MITTEL ZUR BEHANDLUNG VON HÄMORRHOIDEN UND ANALFISSUREN ZUR TOPISCHEN ANWENDUNG;;;;;;
DOLOPOSTERINE ;Kade;Cinchocain hydrochlorid;C05AD04;C05A;MITTEL ZUR BEHANDLUNG VON HÄMORRHOIDEN UND ANALFISSUREN ZUR TOPISCHEN ANWENDUNG;;;;;;
DOLOVISANO ;Kade;Methocarbamol;M03BA03;M03B;MUSKELRELAXANZIEN, ZENTRAL WIRKENDE MITTEL;;;;;;
KADEFUNGIN ;Kade;Clotrimazol;G01AF02;G01A;ANTIINFEKTIVA UND ANTISEPTIKA, EXKL. KOMBINATIONEN MIT CORTICOSTEROIDEN;;;;;;
POSTERICORT ;Kade;Hydrocortison acetat;C05AA01;C05A;MITTEL ZUR BEHANDLUNG VON HÄMORRHOIDEN UND ANALFISSUREN ZUR TOPISCHEN ANWENDUNG;;;;;;
TRANCOLONG ;Kade;Flupirtin maleat;N02BG07;N02B;ANDERE ANALGETIKA UND ANTIPYRETIKA;;;;;;
TRANCOPAL ;Kade;Flupirtin maleat;N02BG07;N02B;ANDERE ANALGETIKA UND ANTIPYRETIKA;;;;;;
EVAKADIN ;Kade/ Besins;Desogestrel;G03AC09;G03A;HORMONELLE KONTRAZEPTIVA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
GYNOKADIN ;Kade/ Besins;Estradiol valerat;G03CA03;G03C;ESTROGENE;;;;;;
OEKOLP ;Kade/ Besins;Estriol;G03CA04;G03C;ESTROGENE;;;;;;
PROGESTAN ;Kade/ Besins;Progesteron;G03DA04;G03D;GESTAGENE;;;;;;
PROGESTOGEL ;Kade/ Besins;Progesteron;G03DD01;G03D;GESTAGENE;;;;;;
TESTOGEL ;Kade/ Besins;Testosteron;G03BA03;G03B;ANDROGENE;;;;;;
UTROGEST ;Kade/ Besins;Progesteron;G03DA04;G03D;GESTAGENE;;;;;;
IG ;Kedplasma;Immunglobulin vom Menschen;J06BA02;J06B;IMMUNGLOBULINE;;;;;;
UMANBIG ;Kedplasma;Immunglobulin G vom Menschen;J06BB04;J06B;IMMUNGLOBULINE;;;;;;
VENBIG ;Kedplasma;Immunglobulin G vom Menschen;J06BB04;J06B;IMMUNGLOBULINE;;;;;;
LOAD ;Kessel medintim;Kupferdraht;G02BA02;G02B;KONTRAZEPTIVA ZUR LOKALEN ANWENDUNG;;;;;;
ENTECAVIR ;Klinge Pharma;Entecavir-1-Wasser;J05AF10;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
VOMEX ;Klinge Pharma;Dimenhydrinat;A04AB02;A04A;ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT;;;;;;
JARSIN ;Klosterfrau;"Johanniskraut-Trockenextrakt (3-6:1); Auszugsmittel: Methanol 80% (V/V)";N06AP01;N06A;ANTIDEPRESSIVA;;;;;;
LIMPTAR ;Klosterfrau;Chinin hemisulfat-2-Wasser;M09AA02;M09A;ANDERE MITTEL GEGEN STÖRUNGEN DES MUSKEL- UND SKELETTSYSTEMS;;;;;;
IMATINIB ;Koanaa Healthc.;Imatinib mesilat;L01XE01;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
ANTICHOLIUM ;Köhler Chemie;Physostigmin salicylat;V03AB19;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
ATROPINSULFAT ;Köhler Chemie;Atropinsulfat-1-Wasser;V03AB44;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
METHYLTHIONINIUMCHLORID ;Köhler Chemie;Methylthioninium chlorid;V03AB17;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
NATRIUM ;Köhler Chemie;Dinatriumthiosulfat-5-Wasser;V03AB06;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
PERITRAST ;Köhler Chemie;L-Lysin amidotrizoat;V08AA01;V08A;RÖNTGENKONTRASTMITTEL, IOD-HALTIG;;;;;;
SEDALAM ;Köhler Chemie;Lormetazepam;N05CD06;N05C;HYPNOTIKA UND SEDATIVA;;;;;;
THAM ;Köhler Chemie;Trometamol;B05XX02;B05X;ADDITIVA ZU I.V.-LÖSUNGEN;;;;;;
TOLUIDINBLAU ;Köhler Chemie;Tolonium chlorid;V03AB46;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
UNIZINK ;Köhler Chemie;Zinkbis(hydrogen-DL-aspartat);A12CB05;A12C;ANDERE MINERALSTOFFE;;;;;;
LOPHAKOMP ;Köhler Pharma;Procain hydrochlorid;N01BA02;N01B;LOKALANÄSTHETIKA;;;;;;
NATRIUMTHIOSULFAT ;Köhler Pharma;Dinatriumthiosulfat-5-Wasser;V03AB06;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
THAM ;Köhler Pharma;Trometamol;B05XX02;B05X;ADDITIVA ZU I.V.-LÖSUNGEN;;;;;;
AETHOXYSKLEROL ;Kreussler;Macrogol-8-laurylether;C05BB02;C05B;ANTIVARIKOSA;;;;;;
PHARDOL ;Kreussler;Ketoprofen;M02AA10;M02A;TOPISCHE MITTEL GEGEN GELENK- UND MUSKELSCHMERZEN;;;;;;
CITALON ;Krewel Meuselb.;Citalopram hydrobromid;N06AB04;N06A;ANTIDEPRESSIVA;;;;;;
ERGO ;Krewel Meuselb.;Ergotamintartrat;N02CA02;N02C;MIGRÄNEMITTEL;;;;;;
FENTANYL ;Krewel Meuselb.;Fentanyl;N02AB03;N02A;OPIOIDE;;;;;;
MAREEN ;Krewel Meuselb.;Doxepin hydrochlorid;N06AA12;N06A;ANTIDEPRESSIVA;;;;;;
MIRTAZELON ;Krewel Meuselb.;Mirtazapin;N06AX11;N06A;ANTIDEPRESSIVA;;;;;;
MORPHIN ;Krewel Meuselb.;Morphin hydrochlorid-3-Wasser;N02AA01;N02A;OPIOIDE;;;;;;
OPIPRAM ;Krewel Meuselb.;Opipramol dihydrochlorid;N06AA05;N06A;ANTIDEPRESSIVA;;;;;;
SYNEUDON ;Krewel Meuselb.;Amitriptylin hydrochlorid;N06AA09;N06A;ANTIDEPRESSIVA;;;;;;
TRAMAGIT ;Krewel Meuselb.;Tramadol hydrochlorid;N02AX02;N02A;OPIOIDE;;;;;;
VALOCORDIN ;Krewel Meuselb.;Diazepam;N05BA01;N05B;ANXIOLYTIKA;;;;;;
LIGOSAN ;Kulzer;Doxycyclin hyclat;A01AB22;A01A;STOMATOLOGIKA;;;;;;
ERGOBEL ;Kwizda;Nicergolin;N06DX13;N06D;ANTIDEMENTIVA;;;;;;
TENUATE ;Kyberg Vertr.;Amfepramon hydrochlorid;A08AA03;A08A;ANTIADIPOSITA, EXKL. DIÄTETIKA;;;;;;
ABSTRAL ;Kyowa Kirin;Fentanyl dihydrogencitrat;N02AB03;N02A;OPIOIDE;;;;;;
MOVENTIG ;Kyowa Kirin;Naloxegol oxalat;A06AH03;A06A;MITTEL GEGEN OBSTIPATION;;;;;;
ORAMORPH ;Kyowa Kirin;Morphin sulfat;N02AA01;N02A;OPIOIDE;;;;;;
PECFENT ;Kyowa Kirin;Fentanyl dihydrogencitrat;N02AB03;N02A;OPIOIDE;;;;;;
RECTOGESIC ;Kyowa Kirin;Glyceroltrinitrat;C05AE01;C05A;MITTEL ZUR BEHANDLUNG VON HÄMORRHOIDEN UND ANALFISSUREN ZUR TOPISCHEN ANWENDUNG;;;;;;
SANCUSO ;Kyowa Kirin;Granisetron;A04AA02;A04A;ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT;;;;;;
TOSTRAN ;Kyowa Kirin;Testosteron;G03BA03;G03B;ANDROGENE;;;;;;
XOMOLIX ;Kyowa Kirin;Droperidol;N05AD08;N05A;ANTIPSYCHOTIKA;;;;;;
CALCITRIOL ;Kyramed;Calcitriol;A11CC04;A11C;VITAMIN A UND D, INKL. DEREN KOMBINATIONEN;;;;;;
ENOXAPARIN ;Labor.Farm.Rovi;Enoxaparin natrium;B01AB05;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
ESIDRIX ;Laborat.Juvise;Hydrochlorothiazid;C03AA03;C03A;LOW-CEILING-DIURETIKA, THIAZIDE;;;;;;
INSIDON ;Laborat.Juvise;Opipramol dihydrochlorid;N06AA05;N06A;ANTIDEPRESSIVA;;;;;;
ORPHACOL ;Laboratoir CTRS;Cholsäure;A05AA03;A05A;GALLENTHERAPIE;;;;;;
T ;Laboratoir.SMB;Tramadol hydrochlorid;N02AX02;N02A;OPIOIDE;;;;;;
EPIRUBICIN ;Lapharm;Epirubicin hydrochlorid;L01DB03;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
EUROBICALUTAMID ;Lapharm;Bicalutamid;L02BB03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
EUROCARBOPLATIN ;Lapharm;Carboplatin;L01XA02;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
EURODOCETAXEL ;Lapharm;Docetaxel;L01CD02;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
EUROFLUOR ;Lapharm;Fluorouracil;L01BC02;L01B;ANTIMETABOLITEN;;;;;;
EUROFOLIC ;Lapharm;Calcium folinat;V03AF03;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
EURORUBICIN ;Lapharm;Epirubicin hydrochlorid;L01DB03;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
EUROTAXEL ;Lapharm;Paclitaxel;L01CD01;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
EUROTERE ;Lapharm;Docetaxel;L01CD02;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
EUROVINORELBIN ;Lapharm;Vinorelbin tartrat;L01CA04;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
EUROXALIPLATIN ;Lapharm;Oxaliplatin;L01XA03;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
OXALIPLATIN ;Lapharm;Oxaliplatin;L01XA03;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
CHENODESOXYCHOLSÄURE ;Leadiant;Chenodeoxycholsäure;A05AA01;A05A;GALLENTHERAPIE;;;;;;
ALFASON ;Leo;Hydrocortison 17-butyrat;D07AB02;D07A;CORTICOSTEROIDE, REIN;;;;;;
DAIVONEX ;Leo;Calcipotriol-1-Wasser;D05AX02;D05A;ANTIPSORIATIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
DEFLATOP ;Leo;Betamethason valerat;D07AC01;D07A;CORTICOSTEROIDE, REIN;;;;;;
EINSALPHA ;Leo;Alfacalcidol;A11CC03;A11C;VITAMIN A UND D, INKL. DEREN KOMBINATIONEN;;;;;;
HEPARIN ;Leo;Heparin natrium vom Schwein;B01AB01;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
INNOHEP ;Leo;Tinzaparin natrium;B01AB10;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
KYNTHEUM ;Leo;Brodalumab;L04AC12;L04A;IMMUNSUPPRESSIVA;;;;;;
PICATO ;Leo;Ingenol mebutat;D06BX02;D06B;CHEMOTHERAPEUTIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
PROTAMINSULFAT ;Leo;Protamin sulfat;V03AB14;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
PROTOPIC ;Leo;Tacrolimus-1-Wasser;D11AH01;D11A;ANDERE DERMATIKA;;;;;;
X-SYSTO ;Leo;Pivmecillinam hydrochlorid;J01CA08;J01C;BETALACTAM-ANTIBIOTIKA, PENICILLINE;;;;;;
DEPIGOID ;Leti Pharma;Allergen-Extrakt aus Gräserpollen;V01AA02;V01A;ALLERGENE;;;;;;
DEPIQUICK ;Leti Pharma;Allergen-Extrakt aus Gräserpollen;V01AA02;V01A;ALLERGENE;;;;;;
RETARD ;Leti Pharma;Allergen-Extrakt;V01AA20;V01A;ALLERGENE;;;;;;
AFPRED ;Leyh Pharma;Theophyllin;R03DA04;R03D;ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
FIBCLOT ;LFB Biomedicam.;Blutgerinnungsfaktor I (human);B02BB01;B02B;VITAMIN K UND ANDERE HÄMOSTATIKA;;;;;;
IQYMUNE ;LFB Biomedicam.;Immunglobulin vom Menschen;J06BA02;J06B;IMMUNGLOBULINE;;;;;;
WILLFACT ;LFB Biomedicam.;Von Willebrand-Faktor;B02BD10;B02B;VITAMIN K UND ANDERE HÄMOSTATIKA;;;;;;
BUP ;Libra-Pharm;Buprenorphin;N02AE01;N02A;OPIOIDE;;;;;;
ETORICOXIB ;Libra-Pharm;Etoricoxib;M01AH05;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
TRAMADOL ;Libra-Pharm;Tramadol hydrochlorid;N02AX02;N02A;OPIOIDE;;;;;;
ABASAGLAR ;Lilly;Insulin glargin;A10AE04;A10A;INSULINE UND ANALOGA;;;;;;
ADCIRCA ;Lilly;Tadalafil;C02KX07;C02K;ANDERE ANTIHYPERTENSIVA;;;;;;
ALIMTA ;Lilly;Pemetrexed dinatrium;L01BA04;L01B;ANTIMETABOLITEN;;;;;;
AXIRON ;Lilly;Testosteron;G03BA03;G03B;ANDROGENE;;;;;;
CIALIS ;Lilly;Tadalafil;G04BE08;G04B;UROLOGIKA;;;;;;
CYMBALTA ;Lilly;Duloxetin hydrochlorid;N06AX21;N06A;ANTIDEPRESSIVA;;;;;;
CYRAMZA ;Lilly;Ramucirumab;L01XC21;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
DULOXETIN ;Lilly;Duloxetin hydrochlorid;N06AX21;N06A;ANTIDEPRESSIVA;;;;;;
FORSTEO ;Lilly;Teriparatid;H05AA02;H05A;NEBENSCHILDDRÜSENHORMONE UND ANALOGA;;;;;;
GEMZAR ;Lilly;Gemcitabin hydrochlorid;L01BC05;L01B;ANTIMETABOLITEN;;;;;;
HUMALOG ;Lilly;Insulin lispro;A10AB04;A10A;INSULINE UND ANALOGA;;;;;;
